Type, Value
Redirector domains,32sssaawervvvv.biz
Redirector domains,adminmmi.biz
Redirector domains,auth2022.live
Redirector domains,cleanifl.com
Redirector domains,docpmsi.us
Redirector domains,vrtlsrvmapp.biz
Redirector domains,vrtofcvm.live
Phishing domains,login.actionspsort.cam
Phishing domains,login.akasmisoft.xyz
Phishing domains,login.aueuth11.live
Phishing domains,login.auth009.xyz
Phishing domains,login.auth2022.live
Phishing domains,login.auth83kl.live
Phishing domains,login.bittermann-hh.co
Phishing domains,login.cbhbanlc.com
Phishing domains,login.cleanifl.com
Phishing domains,login.clfonl365.xyz
Phishing domains,login.gddss36.live
Phishing domains,login.grodno-pl.com
Phishing domains,login.hfs923.shop
Phishing domains,login.karlandpearson.com
Phishing domains,login.klm2136.click
Phishing domains,login.login-micro.mcrsfts-passwdupdate.com
Phishing domains,login.mcrosfts-updata.live
Phishing domains,login.mcrosfts-update.cloud
Phishing domains,login.mcrosfts-update.digital
Phishing domains,login.mcrosftts-update.cloud
Phishing domains,login.mcrsft-audio.xyz
Phishing domains,login.mcrsfts-cloud.live
Phishing domains,login.mcrsfts-passwd.cloud
Phishing domains,login.mcrsfts-passwd.digital
Phishing domains,login.mcrsfts-passwdupdate.com
Phishing domains,login.mcrsfts-update.cloud
Phishing domains,login.mcrsfts-update.digital
Phishing domains,login.mcrsfts-virtualofficevm.com
Phishing domains,login.mcrsftsvm-app.digital
Phishing domains,login.mcrsftsvm-app.live
Phishing domains,login.mcrsfts-voiceapp.digital
Phishing domains,login.mcrsftsvoice-mail.cloud
Phishing domains,login.microsecurity.us
Phishing domains,login.microstoff.xyz
Phishing domains,login.mljs365.xyz
Phishing domains,login.mwhhncndn.xyz
Phishing domains,login.mycrsfts-passwd.live
Phishing domains,login.qwwxthn.xyz
Phishing domains,login.seafoodsconnection.com
Phishing domains,login.sunmarks.co.uk
Phishing domains,login.tfosorcimonline.xyz
Phishing domains,login.whitmanlab.uk
Phishing domains,login.yi087011.xyz
Test domain, shareepoint.me
