Indicator,Type,Description
hxxp://sygateway.com,Domain,"First seen: May 16, 2022"
91.121.240.104,IP address,"First seen: May 17, 2022"
164.132.237.64,IP address,"First seen: November 26, 2021"
e81a8f8ad804c4d83869d7806a303ff04f31cce376c5df8aada2e9db2c1eeb98,SHA-256,mimikatz.exe
416e937fb467b7092b9f038c1f1ea5ca831dd19ed478cca444a656b5d9440bb4,SHA-256,vpnui.exe Ligolo
25325dc4b8dcf3711e628d08854e97c49cfb904c08f6129ed1d432c6bfff576b,SHA-256,VBScript
3c2fe308c0a563e06263bbacf793bbe9b2259d795fcc36b953793a7e499e7f71,SHA-256,Remcom
3137413d086b188cd25ad5c6906fbb396554f36b41d5cff5a2176c28dd29fb0a,SHA-256,Web shell
87f317bbba0f50d033543e6ebab31665a74c206780798cef277781dfdd4c3f2f,SHA-256,Web shell
e4ca146095414dbe44d9ba2d702fd30d27214af5a0378351109d5f91bb69cdb6,SHA-256,Web shell
d2e2a0033157ff02d3668ef5cc56cb68c5540b97a359818c67bd3e37691b38c6,SHA-256,Web shell
3ca1778cd4c215f0f3bcfdd91186da116495f2d9c30ec22078eb4061ae4b5b1b,SHA-256,Web shell
bbfee9ef90814bf41e499d9608647a29d7451183e7fe25f472c56db9133f7e40,SHA-256,Web shell
b8206d45050df5f886afefa25f384bd517d5869ca37e08eba3500cda03bddfef,SHA-256,Web shell
